track_id,track_title,track_genre_top,artist_name
2,Food,Hip-Hop,AWOL
5,This World,Hip-Hop,AWOL
10,Freeway,Pop,Kurt Vile
140,Queen Of The Wires,Folk,Alec K. Redfearn & the Eyesores
141,Ohio,Folk,Alec K. Redfearn & the Eyesores
148,Blackout 2,Experimental,Contradiction
182,Jules Lost His Jewels,Rock,Ariel Pink's Haunted Graffiti
190,Castle Of Stars,Folk,Ed Askew
193,Here With You,Folk,Ed Askew
194,All I want to Do,Folk,Ed Askew
197,Piano 2,Folk,Ed Askew
200,Baby Come Home,Folk,Ed Askew
203,Song For R,Folk,Ed Askew
204,My Dream,Folk,Ed Askew
207,Piano 3,Folk,Ed Askew
210,In the French Court,Folk,Ed Askew
211,In America,Folk,Ed Askew
212,When I Arive,Folk,Ed Askew
213,Boute,Pop,Au
255,We Want to be Old,Rock,Bird Names
256,Toggle,Rock,Black Elk
368,Vampires,Rock,Blah Blah Blah
424,The Ambient Honky,Experimental,Brian Joseph Davis
459,Machines and Muscles,Rock,CAVE
534,I Can See You,Folk,Charles Manson
540,The Black Pirate,Folk,Charles Manson
546,If You Have No One,Folk,Charles Manson
574,Caliente Queen,Rock,Clockcleaner
602,Disappearing,Folk,Dora Bleu
615,"Immaterial, side A",Experimental,EKG
620,Arabesque,Folk,Ed Askew
621,Blue Eyed Baby,Folk,Ed Askew
625,Climbing To The Top,Folk,Ed Askew
666,Heat,International,Explode Into Colors
667,Sharpen The Knife,International,Explode Into Colors
676,The Tension,Hip-Hop,Fanatic
690,Cataclysm,Rock,Flying Luttenbachers
694,Planet Say (featuring Faust),Hip-Hop,Food For Animals
695,Elephants,Hip-Hop,Food For Animals
704,Mano De Dios,International,Fósforo
705,Tio Cocodrilo,International,Fósforo
706,Esto Es Califas,International,Fósforo
707,Cochabamba,International,Fósforo
708,Desconocido,International,Fósforo
709,Cumbia De Obama,International,Fósforo
714,Circle Moon,Folk,Fursaxa
715,Kokopelli,Folk,Fursaxa
716,Saxalainen,Folk,Fursaxa
718,Song Of The Spindle Berry,Folk,Fursaxa
777,Relaxing,Rock,Glove Compartment
814,Motion Passings,Folk,Hall Of Fame
821,Sir,Pop,Hecuba
822,Tom & Jerry,Pop,Hecuba
825,Death March,Rock,Here Comes A Big Black Cloud!!
853,Welsinsni Melodyi,International,Hutzl Ukranian Ensemble
890,Softly Tomorrow,Folk,Ilyas Ahmed
892,Phantom Sky,Folk,Ilyas Ahmed
897,02,Experimental,Infinite Body
993,Or So I've Been Told,Rock,Jad Fair and Jason Willett
995,No Good Deed Goes Unpunished,Experimental,Kevin Shields
997,Nothing's Ever Ending,Experimental,Kevin Shields
998,Apparently,Experimental,Kevin Shields
1039,13 Monsters,Rock,Lightning Bolt
1040,Dracula Mountain,Rock,Lightning Bolt
1066,Helicopter de Cristal,Experimental,Lucky Dragons
1069,Un Lagrima en la Discoteca,Experimental,Lucky Dragons
1073,Onda Tocadisco,Experimental,Lucky Dragons
1075,Painful Corazon,Experimental,Lucky Dragons
1082,Nam Nhi-tu,International,M. Nguyen Van Minh-Con
1083,Feasting on Energy,Experimental,Magic Lantern
1087,Tell The Police The Truth,Rock,Mahjongg
1102,Rare Vodka from the Fourteenth Century,Rock,Mary Halvorson and Weasel Walter
1193,Wooly Mammoth's Absence,Folk,Mount Eerie
1195,With My Hands Out,Folk,Mount Eerie
1196,2 Blonde Braids,Folk,Mount Eerie
1197,My Burning,Folk,Mount Eerie
1249,"""Cleanse Bath"" 10"" Metal Laquer",Experimental,Nautical Almanac
1259,Rolling In The Green,Experimental,Nautical Almanac
1270,Cocksuckerbastardmotherfucker,Rock,Necropolis
1276,Richard Nixon Died Today,Experimental,Negativland
1277,No Business,Experimental,Negativland
1278,Downloading,Experimental,Negativland
1417,Guns of Thunder,Rock,Pierced Arrows
1427,I Feel Evils,Rock,Plastic Crimewave Sound
1443,Time Fist,Experimental,Pocahaunted
1482,Reindeer Dance,Electronic,Rainbro
1510,Zombie,Experimental,Ric Royer &amp; G. Lucas Crane
1544,Song of The Stations,Folk,Samara Lubelski
1642,Hrz,Pop,So Cow
1644,Outskirts,Pop,So Cow
1649,Inis Meain,Pop,So Cow
1661,Only Fools and Horses Theme,Pop,So Cow
1663,So High,Pop,Softboiled Eggies
1666,She Fell Through the Trees,Pop,Softboiled Eggies
1673,Track 07,Experimental,Solemn Man
1680,Bashraf Salama,International,The Sounds of Taraab
1681,Daka Kozi Manowe,International,The Sounds of Taraab
1682,Nie Zama Nie Sema,International,The Sounds of Taraab
1683,Mapenzi Matamu,International,The Sounds of Taraab
1684,Mahaba Wa Taka Nini,International,The Sounds of Taraab
1685,Eni Wana Damu,International,The Sounds of Taraab
1686,Rufiji,International,The Sounds of Taraab
1687,"Lala, Mpenzi Lala",International,The Sounds of Taraab
1688,Sishituki,International,The Sounds of Taraab
1689,Unalo,International,The Sounds of Taraab
1701,Clouds,Folk,Spires That in the Sunset Rise
1702,Java Pop,Folk,Spires That in the Sunset Rise
1703,Equus Haar,Folk,Spires That in the Sunset Rise
1704,Morning Song,Folk,Spires That in the Sunset Rise
1706,In the Pineys,Rock,Strapping Fieldhands
1720,Harken Sunshine,Rock,Sun Araw
1732,Black Jerusalem,Experimental,Teeth Mountain
1733,Keinsein,Experimental,Teeth Mountain
1735,Ghost Science,Experimental,Teeth Mountain
1736,Soft Beast,Experimental,Teeth Mountain
1883,I Do What I Do,Rock,The Yolks
1891,Kids In Cars,Rock,Thee Oh Sees
1893,Memories,Folk,Tommy Jay
1924,Calling For You,Folk,The Twin Atlas
1925,Happy At The Wheel,Folk,The Twin Atlas
1929,Buzz Chant,Experimental,U.S. Girls
1930,So Thereby...and furthermore...thus henceforth...Mono,Rock,Upsilon Acrux
2012,The White Mice,Experimental,White Mice
2096,title unknown,Experimental,Grouper
2097,My Sweet Miasma,Folk,Hall Of Fame
2099,....like bacon sundays,Pop,luc
3263,A Date,Folk,Ai Aso
3264,Tee Te Te,Folk,Ai Aso
3265,Lavender,Folk,Ai Aso
3266,Land,Folk,Ai Aso
3270,Song for Obol,Folk,Arborea
3271,Beirut,Folk,Arborea
3272,Seadrift,Folk,Arborea
3273,Redbird,Folk,Arborea
3274,Forewarned,Folk,Arborea
3492,On The Wings,Rock,Citay
3532,Heaven Is Human,Pop,Cryptacize
3533,New Spell,Pop,Cryptacize
3534,Cosmic Sing-a-long,Pop,Cryptacize
3535,No Coins,Pop,Cryptacize
3537,We'll Never Dream Again,Pop,Cryptacize
3538,Say You Will,Pop,Cryptacize
3573,Piggled,Electronic,Dan Deacon
3598,Little Eyes,Folk,Ed Askew
3624,Days of Summer,Rock,Fallen Leaves
3707,Stable the Spuds,Folk,Gary Higgins
3708,Thicker Than A Smokey,Folk,Gary Higgins
3720,Walking on the Water,Rock,Indian Jewelry
3721,Pow Wow,Rock,Indian Jewelry
3722,Swans,Rock,Indian Jewelry
3724,Temporary Famine Ship,Rock,Indian Jewelry
3725,West Alabama,Rock,Indian Jewelry
3761,Improv,Rock,Kinski
3762,Snowy Parts of Scandinavia,Rock,Kinski
3763,Shelley Winters Overdrive,Rock,Kinski
3765,Waves of Second Guessing,Rock,Kinski
3766,Rhode Island Freakout,Rock,Kinski
3775,Cumbia Infierno,International,La Troba Kung-Fu
3776,La Canco de Lladre,International,La Troba Kung-Fu
3777,Volant,International,La Troba Kung-Fu
3778,Calor Calor,International,La Troba Kung-Fu
3779,Rock Rumba,International,La Troba Kung-Fu
3832,Bedoin Song,Folk,Lior
3833,Track 01,Rock,Lightning Bolt
3840,Track 08,Rock,Lightning Bolt
3880,Crawling,Folk,Mary Halvorson and Jessica Pavone
3895,Invitita and de Cingheri from Transylvania,International,MetroFolk
3896,Gypsy Csardas and Men's Dances from Kalotaszeg,International,MetroFolk
3904,Sometimes,Folk,Michael Chapman
3905,Twisted Road,Folk,Michael Chapman
3906,Sometimes,Folk,Michael Chapman
3908,Caddo Lake,Folk,Michael Chapman
3909,Dewbury Road / That Time of Night,Folk,Michael Chapman
3910,Kodak Ghosts,Folk,Michael Chapman
3911,Dust Devils,Folk,Michael Chapman
3912,Fahey's Flag,Folk,Michael Chapman
3913,Memhpis in Winter,Folk,Michael Chapman
3920,Fragrant Rota,Folk,Michael Holt
3921,Hiawatha's Lullaby,Folk,Michael Holt
3950,Click Click Bang Bang,Rock,Miss Derringer
4013,Ravens,Folk,Nalle
4017,New Roots,Folk,Nalle
4022,Can't Tell No One,Rock,Negative Approach
4037,Oh! Mighty Engine,Folk,Neil Halstead
4066,Soleade,Folk,Peter Walker
4067,Por Rosa,Folk,Peter Walker
4068,Alegrias Variation,Folk,Peter Walker
4069,Tune on Karen Dalton's Guitar,Folk,Peter Walker
4070,Nuevos Ojos,International,Pistolera
4071,Mentirosas,International,Pistolera
4072,Tatuaje,International,Pistolera
4073,Policia,International,Pistolera
4074,Vieja,International,Pistolera
4075,Un Momento,International,Pistolera
4076,No te Olvidare,International,Pistolera
4077,Algo Pa que te Olvides,International,Pistolera
4078,No Suspires,International,Pistolera
4079,Extranjero,International,Pistolera
4080,Cazador,International,Pistolera
4091,1864,International,Polka Madre
4092,Nina Olga Vodka,International,Polka Madre
4093,Amsterdam,International,Polka Madre
4094,Vida Propia,International,Polka Madre
4095,Funeral Brahms,International,Polka Madre
4096,La Fin Du Monde,International,Polka Madre
4097,Clammy Hands,International,Polka Madre
4098,Russo Trap,International,Polka Madre
4099,Stalin's Head,International,Polka Madre
4100,Gitanas Mojadas,International,Polka Madre
4101,Karjalainen Tanssi,International,Polka Madre
4102,Herasinkuoleena,International,Polka Madre
4103,Circo Del Siglo,International,Polka Madre
4108,New Wave Hippies,Rock,Psychedelic Horseshit
4232,Bowmazan Ya Mahaba  Bi Kidude song ,International,The Sounds of Taraab
4233,Interview,International,The Sounds of Taraab
4234,Mapenzi Matamu,International,The Sounds of Taraab
4235,Kanilemaza  Ikhwani Safaa,International,The Sounds of Taraab
4236,Enyi Wana Damu  Sharmila and Black Star Orchestra,International,The Sounds of Taraab
4239,Shishituki,International,The Sounds of Taraab
4450,Adventures of Castle One,Folk,Twi the Humble Feather
4507,Mon Amant de St. Jean,International,Yan Yalego
4508,Five Foot Two,International,Yan Yalego
4509,Haricots,International,Yan Yalego
4510,no title,International,Yan Yalego
4511,Petit 'n Mwen,International,Yan Yalego
4519,Golden,Electronic,High Places
4520,From Stardust to Sentience,Electronic,High Places
4521,Namer,Electronic,High Places
4522,Oceanus,Electronic,High Places
4682,Asylum (Permanent Underclass),Hip-Hop,Dälek
4684,Eyes to Form Shadows,Hip-Hop,Dälek
4685,Ever Somber,Hip-Hop,Dälek
4688,Culture for Dollars,Hip-Hop,Dälek
4777,Firecracker,Rock,Half Japanese
4778,Too Much Fun,Rock,Half Japanese
4779,Secret Admirer,Rock,Half Japanese
4780,Too Much Adrenaline,Rock,Half Japanese
4781,No Big Deal,Rock,Half Japanese
4782,Thing With a Hook,Rock,Half Japanese
4784,Rosemary's Baby,Rock,Half Japanese
4785,I Know How It Feels...Bad,Rock,Half Japanese
4786,"1,000,000 Kisses",Rock,Half Japanese
4787,Nicole Told Me,Rock,Half Japanese
4788,Fire To Burn,Rock,Half Japanese
4799,I've Got a Love,Rock,Harvey Milk
4835,Steak,Rock,Peelander-Z
4836,Panda Punk Tongue,Rock,Peelander-Z
4838,Punk Rock,Rock,Peelander-Z
4846,Bistoon,International,Mamak Khadem
4848,(introduction),International,Mamak Khadem
4849,Avareh,International,Mamak Khadem
5006,"So Long, Silver Lining",Rock,New Bomb Turks
5156,Circles,Folk,Peter Biedermann
5157,Copenhagen,Folk,Peter Biedermann
5158,Running,Folk,Peter Biedermann
5159,Christiania,Folk,Peter Biedermann
5169,The Uncommon Man,Folk,Peter Biedermann
5170,Labyrinth,Folk,Peter Biedermann
5171,Cover Up,Folk,Peter Biedermann
5191,Say What You Feel,Pop,caUSE co-MOTION
5264,Classical Homicide,Hip-Hop,Dälek
5268,3 Rocks Blessed,Hip-Hop,Dälek
5376,The Clouds,Folk,Mary Halvorson and Jessica Pavone
5381,Hartford,Folk,Mary Halvorson and Jessica Pavone
5521,alone now,Experimental,The Apartment
5879,Rock and Tree,Folk,Bob Wiseman
5936,Traveling,Folk,Susanna
5940,When It Rains,Folk,Howard Fishman
6329,Krivo Kopanitsa Horo,International,Sheqer
6330,Nie Zama Nie Sema,International,The Sounds of Taraab
6331,track 1,International,Kavala Brass Band
6332,Taso's Hasapiko,International,Raya Brass Band
6333,track 01,International,Scott Wilson & Efendi
6342,Doulab Nahawand Murassaa,International,Zikrayat
6354,Daka Koz,International,The Sounds of Taraab
6357,Zaharoula,International,Raya Brass Band
6358,track 2,International,Kavala Brass Band
6360,Sabah Sabah Seyredelim Yaliyi,International,Orkestra Keyif
6363,track 02,International,Scott Wilson & Efendi
6366,Taheya,International,Zikrayat
6367,"Manowe, Mahaba Wa Takanini, Mapenz",International,The Sounds of Taraab
6368,track 3,International,Kavala Brass Band
6370,Leventikos,International,Raya Brass Band
6372,track 03,International,Scott Wilson & Efendi
6373,Semseyemin Ucu Kare with Oud Solo by Haig Manoukian,International,Orkestra Keyif
6376,track 4,International,Kavala Brass Band
6379,Matamu Choz,International,The Sounds of Taraab
6380,track 04,International,Scott Wilson & Efendi
6381,Kateva Lenko,International,Raya Brass Band
6382,Svadbeni Cocek,International,Sheqer
6383,Telegrafin Tellerine,International,Orkestra Keyif
6385,track 05,International,Scott Wilson & Efendi
6387,Karsilamas Hrysodaktili,International,Raya Brass Band
6389,Kwala Ulala Huez,International,The Sounds of Taraab
6390,track 5,International,Kavala Brass Band
6393,Rumor,International,Zikrayat
6394,Bufchansko,International,Sheqer
6396,Sarki,International,Sheqer
6406,The Hungry Stones,Folk,MV + EE
6407,Huna Cosm,Folk,MV + EE
6439,Crossover,Hip-Hop,EPMD
6440,Rampage,Hip-Hop,EPMD
6442,Richter Scale,Hip-Hop,EPMD
6443,Music,Hip-Hop,EPMD
6448,Please Listen To My Demo,Hip-Hop,EPMD
6459,Ma Alli Wu Ultillu,International,Zikrayat
6461,Florida Rain,Folk,Matt Bauer
6463,Are You the One?,Folk,Matt Bauer
6467,As She Came Out of  the Water,Folk,Matt Bauer
6469,Derya'da Deryaliklar,International,Orkestra Keyif
6517,Stars,Rock,Sakura Madams
6519,Somebody To Love,Rock,Sakura Madams
6603,The Woods,Hip-Hop,Height With Friends
6605,Bad Weather,Hip-Hop,Height With Friends
6606,Smash Your Eyes,Hip-Hop,Height With Friends
6607,The World,Hip-Hop,Height With Friends
6608,Cavalcade Lagoons,Hip-Hop,Height With Friends
6609,2009,Hip-Hop,Height With Friends
6610,Clack Struck Twelve,Hip-Hop,Height With Friends
6611,Escape Tune,Hip-Hop,Height With Friends
6674,Introduction: (Re)percussions,Experimental,Jarrod Fowler
6675,The End of Senseless Beating,Experimental,Jarrod Fowler
6677,Index,Experimental,Jarrod Fowler
6679,Different Strokes for Different Folks,Experimental,Jarrod Fowler
6680,Sound of the City:  A Musician is Being Beaten,Experimental,Jarrod Fowler
6684,Preface,Experimental,Jarrod Fowler
6762,Western States,Folk,Matt Bauer
6776,Abflussbestattung / Verrat Am Metal,Rock,Japanische Kampfhorspiele
6778,Dresscode,Rock,Japanische Kampfhorspiele
6779,Castle By the Sea,Folk,Cath and Phil Tyler
6782,Sunshine,Folk,Cath and Phil Tyler
6783,Fisherman's Girl,Folk,Cath and Phil Tyler
6788,Tokugiri Star,Rock,Peelander-Z
6802,Spanish Civil War Tribute,International,Watcha Clan
6803,Balkan Qoulou,International,Watcha Clan
6854,Lost in Your,Folk,Lior
6855,This Old Love,Folk,Lior
6856,Autumn Flow,Folk,Lior
